연번,관리 주체,시설물명,위치,연장(m),폭(m),차로(수),종류,등급,비고,데이터기준일자
1,인천광역시 서구,왕길지하차도,왕길동 산142-9,580,17,4,2종,양호,박스 140m,2025-11-10
2,인천광역시 서구,석남지하차도,석남동 산50-7,380,10,2,2종,양호,박스 120m,2025-11-10
3,인천광역시 서구,호수공원1지하차도,경서동 857,846,26,6,2종,양호,박스 485m,2025-11-10
4,인천광역시 서구,호수공원2지하차도,경서동 972,824,26,6,2종,양호,박스 485m,2025-11-10
5,경제청,중봉지하차도,청라동 115-8,1932,20,4,1종,양호,"박스 1,635m",2025-11-10
6,경제청,청라지하차도,청라동 101-11,610,20,4,1종,양호,박스 120m,2025-11-10
7,종합건설본부,루원지하차도,가정동 208,1280,28.5,4,1종,양호,"박스 1,200m",2025-11-10
8,종합건설본부,봉수지하차도,가정동 632,480,24,4,일반,양호,박스 98m,2025-11-10
9,LH,연희지하차도,경서동 121-1,780,40,4,2종,양호,박스 355m,2025-11-10
10,인천광역시 서구,북인천지하차도,경서동 산200-10,580,40,4,2종,양호,박스 140m,2025-11-10
